Seq_ID	ID_sample	ID	Transect	Point	Compartment	Spartina	Depth	Location	Year	N	W	Crab.burrows	Snails.density	sed_Eh	sed_pH	Fetot	FeII	Ammonium	Phosphate	Nitrate	Sulfide	Salinity	Sulfate	FeIII	Sed_13C	Sed_Total_N	Sed_15N	SOC	Sed_org13C	BG_rate	NAG_rate	PHOS_rate	Plant.height	Plant.density	Leaf_temp	Leaf_N	Leaf_15N	Leaf_C	Leaf_13C	Leaf_CN_ratio	plant_biomass	plant_biomass_area	Observed	Shannon	Simpson	Counts
Sapelo2018_Bulk_sediment_T1_P1_5-10	2	2	1	1	Bulk sediment	Tall	10-05	Sapelo	2018	31.38894	81.27755	120	0	-143.3	6.8	264.3977424	81.7732997	35.35273221	3.575041951	4.818803227	18.36957397	23.24182792	13.46405079	182.6244427	-21.0365	0.24	5.183	2.58	-21.5545	NA	NA	NA	120.8	108	NA	NA	NA	NA	NA	NA	10.46327372	1130.033562	747	6.130329197	0.996311007	33656
Sapelo2018_Bulk_sediment_T1_P1_0-5	1	1	1	1	Bulk sediment	Tall	0-5	Sapelo	2018	31.38894	81.27755	120	0	78.7	7.5	241.2984691	117.4454864	76.38308739	2.75004952	12.1809817	27.97462844	30.02428956	17.63794303	123.8529827	-20.2595	0.31	5.277	3.29	-21.0175	NA	NA	NA	120.8	108	NA	NA	NA	NA	NA	NA	10.46327372	1130.033562	844	6.238577446	0.996524763	36067
Sapelo2018_Bulk_sediment_T1_P2_5-10	4	4	1	2	Bulk sediment	Medium	10-05	Sapelo	2018	31.38913	81.2776	176	56	-373.7	6.7	8.95037821	7.466114538	101.3558194	60.71469548	0.180814881	1453.573478	37.25735309	24.71631234	1.484263672	-15.7525	0.73	2.702	15.98	-15.8155	NA	NA	NA	69.2	76	NA	NA	NA	NA	NA	NA	4.189871207	318.4302117	772	6.039312041	0.995882004	38142
Sapelo2018_Bulk_sediment_T1_P2_0-5	3	3	1	2	Bulk sediment	Medium	0-5	Sapelo	2018	31.38913	81.2776	176	56	-287	6.2	322.5745996	304.6253047	90.70252494	2.64195728	2.507089595	48.55081334	35.69596714	18.19175988	17.94929483	-16.6665	0.83	5.816	7.58	-17.3225	NA	NA	NA	69.2	76	NA	NA	NA	NA	NA	NA	4.189871207	318.4302117	839	6.213788051	0.996643947	38269
Sapelo2018_Bulk_sediment_T1_P3_5-10	6	6	1	3	Bulk sediment	Short	10-05	Sapelo	2018	31.38943	81.27757	0	252	-405	6.6	1.009235501	0.01	76.81737311	153.1461785	0.01	1598.087524	38.46487734	15.38604193	3.802098677	-18.4485	0.32	3.757	4.23	-18.7005	NA	NA	NA	45.3	100	NA	NA	NA	NA	NA	NA	1.903344785	190.3344785	723	6.116730352	0.996458036	33062
Sapelo2018_Bulk_sediment_T1_P3_0-5	5	5	1	3	Bulk sediment	Short	0-5	Sapelo	2018	31.38943	81.27757	0	252	-332.3	6.4	13.91309647	5.015171346	88.33923905	76.50899085	0.01	902.2302477	42.97929735	21.91314701	8.897925126	-19.0275	0.3	3.905	4.52	-19.4975	NA	NA	NA	45.3	100	NA	NA	NA	NA	NA	NA	1.903344785	190.3344785	604	5.891139141	0.995186941	26259
Sapelo2018_Bulk_sediment_T1_P4_5-10	26	26	1	4	Bulk sediment	Short	10-05	Sapelo	2018	31.38983	81.27757	16	256	-310.5	6.6	94.52798463	34.94518072	126.0329453	56.18935595	4.280961517	33.13672919	39.02562198	28.5604211	59.58280391	-18.2725	0.33	3.872	5.24	-18.6705	NA	NA	NA	31.9	140	NA	NA	NA	NA	NA	NA	0.905068623	126.7096073	706	5.914158989	0.992940644	36029
Sapelo2018_Bulk_sediment_T1_P4_0-5	25	25	1	4	Bulk sediment	Short	0-5	Sapelo	2018	31.38983	81.27757	16	256	-254.5	6.7	228.0862802	175.4295377	113.1034305	3.000869776	2.880255542	19.78909298	33.63424648	22.2414702	52.65674255	-20.0485	0.38	4.129	5.06	-20.5635	NA	NA	NA	31.9	140	NA	NA	NA	NA	NA	NA	0.905068623	126.7096073	738	6.017404832	0.995648532	36476
Sapelo2018_Bulk_sediment_T2_P1_5-10	8	8	2	1	Bulk sediment	Tall	10-05	Sapelo	2018	31.38866	81.27693	104	0	20	6.2	10.70739358	4.307538014	10	3.0198967	4.040463192	94.0072711	17.17442316	14.03317192	6.399855569	-20.3785	0.4	4.966	3.79	-20.6325	NA	NA	NA	100.5	72	NA	NA	NA	NA	NA	NA	7.621743597	548.7655388	860	6.264637041	0.996608036	37773
Sapelo2018_Bulk_sediment_T2_P1_0-5	7	7	2	1	Bulk sediment	Tall	0-5	Sapelo	2018	31.38866	81.27693	104	0	34.5	7.1	275.2043315	185.7137203	30.29562363	2.792659939	2.839414554	81.41558512	26.62329481	17.70779535	89.49061121	-19.9785	0.42	4.745	3.83	-20.3795	NA	NA	NA	100.5	72	NA	NA	NA	NA	NA	NA	7.621743597	548.7655388	803	6.213299582	0.996722119	36057
Sapelo2018_Bulk_sediment_T2_P2_5-10	10	10	2	2	Bulk sediment	Medium	10-05	Sapelo	2018	31.38891	81.27695	84	56	-226.5	6.6	4.391206705	8.805387371	60.55120943	54.18380176	1.819133202	759.9681138	19.2637076	13.64091803	0.01	-19.3035	0.38	4.685	4.75	-19.9595	NA	NA	NA	69.1	56	NA	NA	NA	NA	NA	NA	4.172947076	233.6850362	768	6.146591009	0.996446648	31640
