Location,Year,Compartment,Spartina,Transect,Depth,mass g,ng/ul,CT,logcopies_2ul,copies_2ul,copies_ul,copies_ng_DNA,copies_g_mass,logcopies_g_mass
Sapelo,2018,Bulk sediment,Short,1,0-5,0.28,14,23.05998802,7.351426217,22460851.52,112304257.6,8021732.686,401086634.3,8.60323819
Sapelo,2018,Bulk sediment,Short,1,0-5,0.28,14,26.83412361,6.261334491,1825300.998,91265049.88,6518932.134,325946606.7,8.513146464
Sapelo,2018,Endosphere,Short,1,0-5,0.14,24.9,21.45556196,7.77400544,59429960.25,297149801.3,11933726.96,2122498580,9.326847408
Sapelo,2018,Endosphere,Short,1,0-5,0.14,24.9,25.17679596,6.713287742,5167586.344,258379317.2,10376679.4,1845566551,9.266129711
Sapelo,2018,Rhizosphere,Short,1,0-5,0.26,22.1,22.85791715,7.404648334,25389160.09,126945800.5,5744153.867,488253078.7,8.68864499
Sapelo,2018,Rhizosphere,Short,1,0-5,0.26,22.1,26.55922826,6.336298453,2169194.293,108459714.6,4907679.396,417152748.6,8.62029511
Sapelo,2018,Bulk sediment,Tall,1,0-5,0.25,23.4,22.00752703,7.62862699,42523302.94,212616514.7,9086175.842,850466058.9,8.929656986
Sapelo,2018,Bulk sediment,Tall,1,0-5,0.25,23.4,26.19709078,6.435053343,2723035.749,136151787.5,5818452.456,544607149.9,8.736083339
Sapelo,2018,Endosphere,Tall,1,0-5,0.13,24.1,21.92465146,7.650455041,44715185.97,223575929.8,9277009.537,1719814845,9.235481693
Sapelo,2018,Endosphere,Tall,1,0-5,0.13,24.1,25.82367833,6.536882918,3442571.097,172128554.8,7142263.686,1324065806,9.12190957
Sapelo,2018,Rhizosphere,Tall,1,0-5,0.25,23.4,22.52609126,7.492045772,31048868.07,155244340.4,6634373.52,620977361.5,8.793075768
Sapelo,2018,Rhizosphere,Tall,1,0-5,0.25,23.4,26.14486758,6.449294611,2813808.979,140690449,6012412.348,562761795.8,8.750324607
Sapelo,2018,Bulk sediment,Short,2,0-5,0.26,14.9,22.80393155,7.418867245,26234164.95,131170824.7,8803411.056,504503172.1,8.702863901
Sapelo,2018,Bulk sediment,Short,2,0-5,0.26,14.9,26.36110497,6.390326676,2456556.041,122827802,8243476.646,472414623.2,8.674323332
Sapelo,2018,Endosphere,Short,2,0-5,0.09,17.3,22.43457667,7.516149197,32820802.59,164104013,9485781.096,1823377922,9.260876692
Sapelo,2018,Endosphere,Short,2,0-5,0.09,17.3,26.08268229,6.466252539,2925853.246,146292662.3,8456223.253,1625474025,9.210980034
Sapelo,2018,Rhizosphere,Short,2,0-5,0.26,10.1,23.47131666,7.243089075,17502056.24,87510281.2,8664384.277,336578004.6,8.527085731
Sapelo,2018,Rhizosphere,Short,2,0-5,0.26,10.1,27.34089216,6.123138709,1327818.481,66390924.06,6573358.818,255349707.9,8.407135365
Sapelo,2018,Bulk sediment,Tall,2,0-5,0.27,16.7,22.73285993,7.437586332,27389640.52,136948202.6,8200491.174,507215565.2,8.705192573
Sapelo,2018,Bulk sediment,Tall,2,0-5,0.27,16.7,26.44518344,6.367398477,2330228.325,116511416.2,6976731.512,431523763.9,8.635004717
Sapelo,2018,Endosphere,Tall,2,0-5,0.05,12.5,22.43610954,7.515745464,32790305.56,163951527.8,13116122.23,3279030556,9.515745464
Sapelo,2018,Endosphere,Tall,2,0-5,0.05,12.5,25.9476827,6.503066928,3184688.269,159234413.4,12738753.07,3184688269,9.503066928
Sapelo,2018,Rhizosphere,Tall,2,0-5,0.24,14.7,23.00196012,7.366709804,23265361.47,116326807.3,7913388.255,484695030.6,8.685468567
Sapelo,2018,Rhizosphere,Tall,2,0-5,0.24,14.7,26.52762286,6.344917246,2212673.051,110633652.5,7526098.813,460973552.3,8.663676009
Sapelo,2019,Bulk sediment,Short,3,0-5,0.27,7.8,23.45514043,7.247349624,17674601.23,88373006.15,11329872.58,327307430.2,8.514955864
Sapelo,2019,Bulk sediment,Short,3,0-5,0.27,7.8,27.60878627,6.050083986,1122235.455,56111772.77,7193817.022,207821380.6,8.317690226
Sapelo,2019,Endosphere,Short,3,0-5,0.28,18.6,21.89971479,7.657022948,45396560.38,226982801.9,12203376.45,810652863.8,8.908834921
Sapelo,2019,Endosphere,Short,3,0-5,0.28,18.6,25.89671326,6.516966295,3288261.1,164413055,8839411.56,587189482.2,8.768778268
Sapelo,2019,Rhizosphere,Short,3,0-5,0.32,16.7,22.53123665,7.490690561,30952131.47,154760657.4,9267105.231,483627054.3,8.684510587
