Sulfate_reducers,Sulfur_oxidizer,Fe_oxidizer,Nitrifiers
Acidianus,Achromatium,Acidianus,Candidatus_Nitrocosmicus
Anaerobaculum,Acidianus,Acidiferrobacter,Candidatus_Nitrosoarchaeum
Archaeoglobus,Acidiferrobacter,Acidihalobacter,Candidatus_Nitrosocaldus
Balnearium,Acidihalobacter,Acidimicrobium,Candidatus_Nitrosopelagicus
Bilophila,Acidiphilium,Acidiplasma,Candidatus_Nitrosopumilus
Caldivirga,Acidithiobacillus,Acidithiobacillus,Candidatus_Nitrososphaera 
Dehalospirillum,Alicyclobacillus,Acidovorax,Candidatus_Nitrosotaela
Desulfacinum,Alkalilimnicola,Aquabacterium,Candidatus_Nitrosotenuis
Desulfarculus,Ancalochloris,Arthrobacter,Candidatus_Nitrotoga
Desulfatibacillum,Annwoodia,Chlorobium,Nitrobacter
Desulfatiferula,Aquifex,Chromobacterium,Nitrococcus
Desulfatiglans,Arcobacter,Comamonas,Nitrolancea
Desulfatirhabdium,Beggiatoa,Dechloromonas,Nitrolancetus 
Desulfatitalea,Candidatus_Chlorothrix,Dechlorospirillum,Nitrosococcus
Desulfitibacter,Candidatus_Electronema,Desulfitobacterium,Nitrosolobus
Desulfitispora,Candidatus_Electrothrix,Ferriphaselus,Nitrosomonas
Desulfitobacterium,Candidatus_Isobeggiatoa,Ferrithrix,Nitrosospira
Desulfobacca,Candidatus_Maribeggiatoa,Ferritrophicum,Nitrosovibrio
Desulfobacter,Candidatus_Omnitrophus,Ferroglobus,Nitrospina
Desulfobacterium,Candidatus_Riegeria,Ferromicrobium,Nitrospira
Desulfobacula,Candidatus_Thiobios,Ferroplasma,
Desulfobaculum,Candidatus_Thiodiazotropha,Ferrovum,
Desulfobotulus,Candidatus_Thiosymbion,Gallionella,
Desulfobulbus,Catenococcus,Geobacter,
Desulfocapsa,Chlorobium,Leptospirillum,
Desulfocarbo,Chloroflexus,Leptothrix,
Desulfocella,Chloroherpeton,Marinobacter,
Desulfococcus,Chromatium,Mariprofundus,
Desulfocurvus,Clathrochloris,Metallosphaera,
Desulfofaba,Desulfocapsa,Paracoccus,
Desulfofrigus,Desulfovibrio,Pseudogulbenkiania,
Desulfofustis,Ectothiorhodospira,Ralstonia,
Desulfoglaeba,Endothiovibrio,Rhodobacter,
Desulfohalobium,Ferroglobus,Rhodopseudomonas,
Desulfoluna,Halothiobacillus,Rhodovulum,
Desulfomicrobium,Hydrogenivirga,Sideroxydans,
Desulfomonile,Hydrogenobacter,Sphaerotilus,
Desulfomusa,Macromonas,Sulfobacillus,
Desulfonatronobacter,Metallosphaera,Thermomonas,
Desulfonatronospira,Microcoleus,Thiobacillus,
Desulfonatronovibrio,Oscillatoria,Thiodictyon,
Desulfonatronum,Paracoccus,,
Desulfonauticus,Pelodictyon,,
Desulfonema,Prosthecochloris,,
Desulfopila,Rhodopseudomonas,,
Desulforegula,Rhodospirillum,,
Desulforhabdus,Sedimenticola,,
Desulforhopalus,Sphaerotilus,,
Desulfosalsimonas,Starkeya,,
Desulfosarcina,Sulfitobacter,,
Desulfosoma,Sulfobacillus,,
Desulfospira,Sulfolobus,,
Desulfosporosinus,Sulfuricurvum,,
Desulfotalea,Sulfuriflexus,,
Desulfothermus,Sulfurifustis,,
Desulfotignum,Sulfurihydrogenibium,,
Desulfotomaculum,Sulfurimonas,,
Desulfovermiculus,Sulfurisphaera,,
Desulfovibrio,Sulfuritalea,,
Desulfovirga,Sulfurococcus,,
Desulfurella,Sulfurovum,,
Desulfurispira,Thermithiobacillus,,
Desulfurispirillum,Thermocrinis,,
Desulfurispora,Thermothiobacillus,,
Desulfurivibrio,Thermothrix,,
Desulfurobacterium,Thermus,,
Desulfurococcus,Thioalkalibacter,,
Desulfurolobus,Thioalkalimicrobium,,
Desulfuromonas,Thioalkalispira,,
Desulfuromusa,Thioalkalivibrio,,
Dethiosulfatarculus,Thiobacillus,,
Dethiosulfatibacter,Thiobacter,,
Dethiosulfovibrio,Thiobacterium,,
Ferroglobus,Thioclava,,
Halodesulfovibrio,Thiodictyon,,
Hippea,Thiofaba,,
Hyperthermus,Thiogranum,,
Ignicoccus,Thiohalobacter,,
Jonquetella,Thiohalocapsa,,
Pelobacter,Thiohalomonas,,
Peptococcus,Thiohalophilus,,
Pyramidobacter,Thiohalorhabdus,,
Pyrobaculum,Thiohalospira,,
Pyrodictium ,Thiolamprovum,,
Pyrolobus,Thiolapillus,,
SEEP.SRB1,Thiomargarita,,
Shewanella,Thiomicrorhabdus,,
Staphylothermus,Thiomicrospira,,
Stetteria,"Thiomicrospiraceae, endosymbionts",,
Stygiolobus,Thiomonas,,
Sulfurisphaera,Thioploca,,
Sulfurospirillum,Thiospira,,
Sva0081_sediment_group,Thiothrix,,
Syntrophobacter,Thiovirga,,
Thermanaerovibrio,Thiovulum,,
Thermocladium,,,
Thermodesulfatator,,,
Thermodesulfobacterium,,,
Thermodesulforhabdus,,,
Thermodesulfovibrio,,,
Thermodiscus,,,
Thermoterrabacterium,,,
Thermovibrio,,,
Thermovirga,,,
Vulcanisaeta,,,
